,vid-vid mean similarity,text-vid mean similarity
air drumming,0.6493091,0.24425311
arm wrestling,0.62550557,0.2713044
beatboxing,0.60611594,0.2529046
biking through snow,0.7463665,0.28864408
blowing glass,0.7086811,0.28945872
blowing out candles,0.6847043,0.28217542
bowling,0.7640574,0.28382218
breakdancing,0.6688809,0.2684882
bungee jumping,0.70720214,0.28875354
catching or throwing baseball,0.62566125,0.254876
cheerleading,0.6100328,0.25730565
cleaning floor,0.6758301,0.28605396
contact juggling,0.6358777,0.2670972
cooking chicken,0.7226509,0.2728766
country line dancing,0.6621594,0.27819476
curling hair,0.68075675,0.26060864
deadlifting,0.7725399,0.2799454
doing nails,0.694206,0.26576018
dribbling basketball,0.6970847,0.2844603
driving tractor,0.68188876,0.28392655
drop kicking,0.64595515,0.24189194
dying hair,0.7079948,0.26152351
eating burger,0.6227561,0.26043984
feeding birds,0.6277486,0.2688496
giving or receiving award,0.5040569,0.24442855
hopscotch,0.6868451,0.284814
jetskiing,0.72649395,0.27610388
jumping into pool,0.7508157,0.2954593
laughing,0.68498516,0.23016621
making snowman,0.7501127,0.29088157
massaging back,0.73218894,0.2735363
mowing lawn,0.6970897,0.28725767
opening bottle,0.64992654,0.25938427
playing accordion,0.6466796,0.29351148
playing badminton,0.6488588,0.2824128
playing basketball,0.6409654,0.25937817
playing didgeridoo,0.62650996,0.29142594
playing ice hockey,0.7378263,0.27266207
playing keyboard,0.69775486,0.2856751
playing ukulele,0.64344275,0.27630746
playing xylophone,0.66353834,0.293613
presenting weather forecast,0.612058,0.27276105
punching bag,0.6822989,0.26590562
pushing cart,0.69400126,0.26496217
reading book,0.64987683,0.23696691
riding unicycle,0.672176,0.29175645
shaking head,0.7322833,0.21006459
sharpening pencil,0.68606824,0.26543525
shaving head,0.64276004,0.2683249
shot put,0.67492557,0.27522328
shuffling cards,0.7065721,0.27799615
slacklining,0.659953,0.28198287
sled dog racing,0.70033145,0.29796922
snowboarding,0.77425236,0.2754074
somersaulting,0.6583327,0.26001963
squat,0.7472334,0.25471997
surfing crowd,0.742271,0.2574066
trapezing,0.719848,0.2736454
using computer,0.72804815,0.2648211
washing dishes,0.698765,0.27080315
washing hands,0.65521824,0.263757
water skiing,0.73730665,0.29272178
waxing legs,0.70831853,0.2618273
weaving basket,0.6918649,0.2887073
baking cookies,0.7087691,0.27513045
crossing river,0.6890155,0.26004735
dunking basketball,0.64712226,0.26938352
feeding fish,0.71015906,0.27241534
flying kite,0.69326246,0.2820136
high kick,0.5834207,0.24840762
javelin throw,0.6821979,0.27852845
playing trombone,0.6640345,0.28604546
scuba diving,0.804366,0.2814527
skateboarding,0.6932083,0.26626384
ski jumping,0.73215586,0.2823397
trimming or shaving beard,0.65216297,0.2541948
blasting sand,0.70836806,0.23538277
busking,0.6124682,0.27293795
cutting watermelon,0.71701795,0.32359532
dancing ballet,0.69508505,0.26847616
dancing charleston,0.6425503,0.23909408
dancing macarena,0.59921336,0.26546782
diving cliff,0.69575197,0.27227822
filling eyebrows,0.69461304,0.28392497
folding paper,0.7459197,0.29112008
hula hooping,0.6601545,0.28274235
hurling (sport),0.7262717,0.28104812
ice skating,0.7090156,0.29541883
paragliding,0.766898,0.3018814
playing drums,0.7360836,0.28586194
playing monopoly,0.6980508,0.28776675
playing trumpet,0.6645903,0.27621672
pushing car,0.65005434,0.2529078
riding elephant,0.69259834,0.2778128
shearing sheep,0.70857745,0.30954
side kick,0.705787,0.25340715
stretching arm,0.61975247,0.24991743
tap dancing,0.6367503,0.26887548
throwing axe,0.6436306,0.2550605
unboxing,0.7021869,0.26830372
