,vid-vid mean similarity,text-vid mean similarity
air drumming,0.46047077,0.20579416
arm wrestling,0.5518265,0.40899768
beatboxing,0.47657052,0.24408245
biking through snow,0.67051154,0.62728804
blowing glass,0.6476136,0.543827
blowing out candles,0.6498678,0.3200215
bowling,0.8303047,0.6271006
breakdancing,0.5645138,0.3796755
bungee jumping,0.5841496,0.54744875
catching or throwing baseball,0.5220491,0.41579235
cheerleading,0.61998224,0.5060313
cleaning floor,0.5594095,0.50220746
contact juggling,0.46389756,0.27775148
cooking chicken,0.5734208,0.5251726
country line dancing,0.5931075,0.40149269
curling hair,0.65151006,0.52585477
deadlifting,0.7805435,0.4171122
doing nails,0.54783577,0.47178954
dribbling basketball,0.7136839,0.5255363
driving tractor,0.60105187,0.5362528
drop kicking,0.5015569,0.19043227
dying hair,0.6496128,0.42242756
eating burger,0.5920317,0.4437877
feeding birds,0.49246323,0.4449979
giving or receiving award,0.54933274,0.33963028
hopscotch,0.6135558,0.3230587
jetskiing,0.67355037,0.56804204
jumping into pool,0.6922582,0.5349982
laughing,0.5730225,0.258027
making snowman,0.6752524,0.571544
massaging back,0.66110355,0.5495534
mowing lawn,0.6281091,0.49504548
opening bottle,0.4858334,0.3558701
playing accordion,0.6163664,0.5062658
playing badminton,0.6127157,0.4921679
playing basketball,0.5809757,0.508444
playing didgeridoo,0.4860618,0.37550727
playing ice hockey,0.8014668,0.639864
playing keyboard,0.62415326,0.50375575
playing ukulele,0.5657678,0.43947306
playing xylophone,0.5490648,0.29452145
presenting weather forecast,0.7342762,0.4438988
punching bag,0.55951667,0.35511744
pushing cart,0.5982175,0.33065468
reading book,0.53983825,0.3713638
riding unicycle,0.6048669,0.5071492
shaking head,0.596546,0.17692867
sharpening pencil,0.47896683,0.44127706
shaving head,0.5768793,0.3566073
shot put,0.6386753,0.40020534
shuffling cards,0.58695406,0.48268887
slacklining,0.49877715,0.47572467
sled dog racing,0.73455423,0.6227337
snowboarding,0.7132512,0.59320116
somersaulting,0.49034342,0.3331219
squat,0.7075855,0.5056669
surfing crowd,0.70827425,0.27894616
trapezing,0.64512455,0.35325146
using computer,0.5554337,0.5514095
washing dishes,0.61481595,0.46792674
washing hands,0.54797125,0.45576233
water skiing,0.7225703,0.611785
waxing legs,0.60710007,0.3783351
weaving basket,0.57193774,0.546767
baking cookies,0.57945263,0.46613395
crossing river,0.5576423,0.4908562
dunking basketball,0.59583914,0.43078038
feeding fish,0.49133322,0.4533268
flying kite,0.5397231,0.50054544
high kick,0.4414603,0.24531241
javelin throw,0.6668183,0.47969073
playing trombone,0.64616144,0.52870333
scuba diving,0.66416645,0.51435786
skateboarding,0.6947881,0.569512
ski jumping,0.6683308,0.52719975
trimming or shaving beard,0.62878394,0.48867393
blasting sand,0.5535659,0.4179658
busking,0.519609,0.4123324
cutting watermelon,0.6961122,0.61267316
dancing ballet,0.63451654,0.47306862
dancing charleston,0.5331169,0.3524369
dancing macarena,0.48515195,0.22144133
diving cliff,0.6034374,0.37483764
filling eyebrows,0.65513426,0.56514674
folding paper,0.6031577,0.524735
hula hooping,0.5573929,0.42985955
hurling (sport),0.79560393,0.4936181
ice skating,0.7554476,0.54792964
paragliding,0.7687113,0.6562164
playing drums,0.68458074,0.58199114
playing monopoly,0.61755645,0.3837742
playing trumpet,0.57976055,0.48666897
pushing car,0.53500396,0.3413307
riding elephant,0.6517672,0.5537073
shearing sheep,0.6922231,0.56507593
side kick,0.67094386,0.3529396
stretching arm,0.4579464,0.41330516
tap dancing,0.51290077,0.38245842
throwing axe,0.4836702,0.3701627
unboxing,0.59387434,0.4111094
